P1_Wins,P2_Wins,Draw
80,9,11
82,6,12
79,10,11
84,11,5
80,10,10
75,13,12
79,13,8
73,13,14
86,11,3
79,15,6
82,12,6
89,7,4
85,10,5
80,12,8
81,9,10
86,9,5
82,12,6
77,11,12
75,15,10
77,13,10
80,6,14
75,14,11
84,5,11
85,10,5
84,10,6
86,4,10
80,8,12
90,8,2
81,13,6
79,10,11
85,9,6
81,8,11
75,12,13
88,7,5
79,13,8
78,10,12
69,22,9
80,10,10
77,9,14
78,10,12
74,9,17
82,9,9
80,8,12
77,11,12
82,6,12
83,11,6
83,7,10
86,7,7
83,8,9
88,4,8
79,14,7
87,8,5
79,10,11
87,3,10
79,6,15
82,11,7
76,17,7
81,10,9
74,16,10
82,4,14
81,7,12
70,18,12
79,11,10
83,12,5
81,7,12
83,9,8
83,9,8
87,6,7
79,15,6
80,14,6
77,12,11
82,10,8
80,9,11
74,15,11
79,15,6
80,9,11
72,16,12
83,9,8
80,9,11
81,12,7
77,13,10
88,6,6
74,11,15
80,10,10
85,7,8
86,6,8
82,12,6
78,9,13
78,12,10
81,11,8
79,12,9
80,10,10
81,10,9
83,5,12
88,4,8
81,9,10
85,7,8
87,9,4
81,8,11
70,16,14
83,7,10
82,11,7
81,9,10
85,6,9
84,10,6
83,9,8
90,6,4
81,10,9
81,8,11
83,11,6
78,5,17
72,15,13
78,10,12
82,10,8
80,13,7
74,13,13
83,10,7
85,8,7
87,9,4
80,10,10
79,10,11
78,15,7
75,10,15
69,12,19
82,6,12
79,6,15
78,12,10
80,10,10
79,13,8
87,9,4
79,11,10
76,8,16
77,13,10
80,11,9
76,9,15
84,10,6
81,10,9
75,15,10
83,11,6
85,6,9
82,9,9
79,14,7
89,7,4
84,10,6
76,7,17
85,6,9
87,7,6
75,13,12
80,11,9
81,11,8
82,7,11
85,5,10
82,10,8
76,13,11
78,10,12
83,13,4
75,11,14
86,4,10
72,11,17
82,9,9
78,9,13
83,8,9
73,13,14
83,6,11
73,12,15
77,14,9
84,5,11
82,13,5
79,10,11
91,3,6
80,9,11
80,5,15
78,11,11
75,11,14
79,8,13
76,13,11
81,10,9
84,6,10
77,10,13
82,11,7
87,7,6
82,13,5
82,7,11
76,14,10
79,10,11
82,9,9
90,4,6
83,6,11
79,10,11
82,7,11
86,13,1
81,9,10
80,9,11
85,8,7
83,7,10
83,9,8
86,10,4
85,6,9
83,8,9
72,13,15
86,7,7
85,4,11
84,10,6
83,8,9
84,10,6
76,15,9
85,10,5
85,7,8
82,8,10
85,10,5
81,7,12
73,15,12
74,18,8
72,15,13
82,11,7
86,10,4
88,4,8
84,6,10
83,12,5
82,6,12
81,8,11
81,9,10
85,5,10
75,16,9
83,11,6
77,10,13
80,11,9
86,7,7
76,16,8
83,8,9
81,14,5
79,14,7
80,15,5
86,5,9
76,10,14
82,8,10
84,9,7
78,12,10
87,6,7
79,8,13
73,14,13
82,8,10
80,10,10
85,6,9
79,7,14
84,7,9
87,8,5
86,9,5
79,10,11
82,8,10
89,4,7
86,10,4
73,10,17
75,14,11
76,10,14
82,12,6
79,8,13
81,6,13
82,9,9
81,10,9
80,10,10
79,12,9
80,12,8
84,4,12
82,12,6
77,14,9
76,15,9
76,11,13
89,5,6
87,4,9
83,10,7
79,9,12
80,3,17
81,6,13
80,6,14
88,7,5
78,12,10
87,5,8
78,9,13
77,12,11
86,7,7
80,10,10
84,12,4
85,8,7
75,11,14
73,17,10
90,6,4
82,12,6
84,6,10
83,8,9
81,12,7
83,6,11
84,8,8
80,12,8
73,13,14
78,12,10
82,10,8
80,10,10
86,6,8
78,14,8
81,9,10
79,9,12
82,8,10
81,8,11
86,6,8
87,8,5
76,11,13
87,8,5
75,10,15
81,10,9
82,10,8
80,9,11
79,15,6
76,13,11
82,9,9
79,11,10
85,7,8
81,7,12
81,6,13
81,11,8
82,5,13
84,9,7
83,6,11
78,12,10
82,12,6
84,10,6
84,9,7
79,10,11
83,9,8
86,8,6
80,14,6
87,9,4
79,8,13
83,6,11
82,10,8
84,8,8
77,8,15
78,9,13
86,9,5
86,6,8
77,11,12
81,9,10
88,9,3
85,8,7
77,9,14
88,6,6
87,7,6
84,9,7
84,9,7
80,8,12
83,9,8
76,12,12
77,14,9
81,10,9
86,5,9
79,8,13
77,8,15
80,5,15
77,11,12
82,9,9
90,6,4
78,11,11
74,13,13
81,9,10
84,5,11
79,9,12
79,7,14
76,13,11
85,7,8
79,10,11
84,8,8
89,6,5
82,11,7
88,5,7
84,7,9
83,7,10
85,8,7
81,7,12
83,13,4
83,6,11
83,9,8
75,14,11
74,17,9
77,13,10
77,16,7
76,12,12
81,13,6
82,7,11
82,8,10
84,6,10
89,5,6
80,10,10
79,6,15
83,6,11
77,16,7
83,10,7
79,9,12
84,8,8
76,15,9
82,9,9
77,11,12
80,11,9
81,8,11
76,12,12
80,12,8
83,8,9
89,5,6
89,7,4
82,10,8
80,13,7
78,12,10
83,8,9
77,11,12
84,8,8
76,9,15
78,12,10
82,6,12
81,10,9
85,8,7
77,11,12
78,11,11
82,11,7
85,7,8
84,6,10
87,5,8
80,8,12
85,6,9
73,15,12
77,10,13
